User,Store,Product,Size,Transaction_Date,WeekDay,Price
10000,Tesco,7009,M,2019-01-18,Friday,4.41
10000,Tesco,7003,L,2019-04-04,Thursday,7.63
10000,Tesco,7006,L,2019-04-04,Thursday,7.79
10000,Tesco,7014,M,2018-10-02,Tuesday,5.1
10000,Tesco,7006,M,2018-10-02,Tuesday,5.69
10000,Tesco,7002,M,2018-10-02,Tuesday,5.79
10000,Aldi,7006,S,2019-08-08,Thursday,3.42
10000,Aldi,7012,S,2019-08-08,Thursday,0.65
10000,Lidl,7008,M,2018-09-30,Sunday,5.12
10000,Lidl,7014,M,2018-09-30,Sunday,5.64
10000,Lidl,7014,L,2019-04-06,Saturday,7.79
10000,Lidl,7002,L,2019-04-06,Saturday,7.77
10000,Tesco,7014,S,2019-04-23,Tuesday,3.2
10000,Tesco,7011,M,2019-09-27,Friday,5.63
10000,Tesco,7012,S,2019-04-23,Tuesday,1.15
10000,Aldi,7009,M,2019-09-24,Tuesday,4.38
10000,Tesco,7008,S,2019-04-23,Tuesday,2.5
10000,Aldi,7008,M,2019-09-24,Tuesday,5.7
10000,Tesco,7009,M,2018-10-02,Tuesday,4.54
10000,Aldi,7003,L,2019-04-01,Monday,7.71
10000,Aldi,7011,L,2019-04-01,Monday,6.25
10000,Aldi,7003,L,2018-09-06,Thursday,7.88
10000,Lidl,7003,S,2018-12-17,Monday,1.43
10000,Lidl,7006,S,2018-12-17,Monday,1.26
10000,Aldi,7012,S,2018-09-15,Saturday,3.12
10000,Aldi,7006,S,2018-09-15,Saturday,2.54
10000,Aldi,7009,S,2018-09-15,Saturday,1.56
10000,Lidl,7009,S,2018-12-17,Monday,0.84
10000,Aldi,7011,M,2019-10-03,Thursday,5.48
10000,Aldi,7008,M,2019-10-03,Thursday,4.27
10000,Aldi,7009,S,2019-03-24,Sunday,2.42
10000,Lidl,7009,S,2019-08-10,Saturday,2.87
10000,Tesco,7002,L,2019-03-29,Friday,6.76
10000,Lidl,7002,S,2019-08-10,Saturday,1.76
10000,Lidl,7003,S,2019-08-10,Saturday,3.34
10000,Tesco,7014,L,2019-03-29,Friday,7.78
10000,Aldi,7002,M,2019-10-01,Tuesday,4.57
10000,Aldi,7011,M,2019-10-01,Tuesday,5.67
10000,Aldi,7012,M,2019-10-01,Tuesday,5.69
10000,Aldi,7011,L,2018-09-06,Thursday,6.91
10000,Tesco,7003,L,2019-03-29,Friday,7.83
10000,Aldi,7006,S,2019-03-24,Sunday,2.86
10000,Tesco,7014,S,2018-09-18,Tuesday,0.98
10000,Tesco,7012,S,2018-09-18,Tuesday,1.72
10000,Tesco,7011,M,2018-09-25,Tuesday,5.55
10000,Aldi,7012,M,2019-03-24,Sunday,5.25
10000,Aldi,7002,M,2019-03-24,Sunday,4.55
10000,Aldi,7006,S,2018-12-23,Sunday,3.27
10000,Aldi,7014,M,2018-12-26,Wednesday,5.25
10000,Aldi,7002,S,2018-12-23,Sunday,2.08
10000,Aldi,7009,S,2018-12-23,Sunday,1.01
10000,Tesco,7011,S,2019-08-02,Friday,2.01
10000,Tesco,7012,M,2018-09-25,Tuesday,5.5
10000,Tesco,7002,S,2019-08-02,Friday,1.22
10000,Lidl,7011,S,2018-09-20,Thursday,1.13
10000,Aldi,7012,M,2018-12-26,Wednesday,5.18
10000,Lidl,7003,S,2018-09-20,Thursday,1.6
10000,Lidl,7012,S,2018-09-20,Thursday,1.18
10000,Aldi,7002,M,2018-12-26,Wednesday,4.79
10000,Lidl,7011,L,2018-08-31,Friday,7.41
10000,Lidl,7014,M,2019-03-26,Tuesday,4.97
10000,Lidl,7008,L,2018-08-31,Friday,8.29
10000,Tesco,7008,S,2019-08-02,Friday,2.95
10000,Lidl,7012,S,2018-12-17,Monday,3.16
10000,Tesco,7014,M,2018-09-25,Tuesday,4.36
10000,Aldi,7011,L,2019-04-15,Monday,7.56
10000,Aldi,7006,S,2019-08-05,Monday,3.49
10000,Tesco,7008,S,2018-09-18,Tuesday,1.37
10000,Tesco,7011,S,2018-09-18,Tuesday,1.66
10000,Tesco,7002,L,2018-09-03,Monday,6.33
10000,Aldi,7009,S,2019-08-05,Monday,1.07
10000,Tesco,7003,L,2018-09-03,Monday,7.69
10000,Tesco,7003,L,2019-04-11,Thursday,7.92
10000,Tesco,7006,L,2019-04-12,Friday,8.12
10000,Tesco,7002,M,2018-09-25,Tuesday,5.36
10000,Tesco,7014,L,2019-04-12,Friday,7.25
10000,Aldi,7011,M,2019-09-20,Friday,4.56
10000,Aldi,7014,M,2019-09-20,Friday,5.86
10000,Aldi,7012,M,2019-09-20,Friday,5.36
10000,Tesco,7002,M,2018-09-26,Wednesday,4.58
10000,Tesco,7006,M,2018-09-26,Wednesday,5.18
10000,Aldi,7014,M,2019-03-24,Sunday,5.55
10000,Aldi,7003,L,2019-04-15,Monday,8.14
10000,Aldi,7008,L,2019-04-15,Monday,6.71
10000,Tesco,7003,L,2019-04-12,Friday,6.22
10000,Lidl,7002,L,2018-08-31,Friday,6.45
10000,Spar,7011,M,2018-10-06,Saturday,4.49
10000,Spar,7009,M,2018-10-06,Saturday,4.33
10000,Tesco,7012,M,2018-10-15,Monday,5.69
10000,Tesco,7011,M,2018-10-15,Monday,4.21
10000,Tesco,7009,M,2018-10-15,Monday,4.83
10000,Tesco,7006,M,2018-10-15,Monday,5.46
10000,Aldi,7006,S,2019-08-19,Monday,2.38
10000,Aldi,7009,L,2019-03-09,Saturday,7.61
10000,Aldi,7008,L,2019-03-09,Saturday,8.29
10000,Aldi,7003,L,2019-03-09,Saturday,8.07
10000,Aldi,7014,L,2019-03-09,Saturday,8.26
10000,Aldi,7002,L,2019-03-09,Saturday,8.15
10000,Aldi,7014,M,2019-10-15,Tuesday,4.22
10000,Aldi,7012,M,2019-10-15,Tuesday,4.69
10000,Lidl,7012,S,2019-03-26,Tuesday,2.81
10000,Tesco,7006,S,2019-08-16,Friday,1.05
10000,Tesco,7008,S,2019-08-16,Friday,2.42
10000,Lidl,7003,S,2019-03-26,Tuesday,1.28
10000,Lidl,7006,S,2019-03-26,Tuesday,0.66
10000,Tesco,7014,S,2018-09-12,Wednesday,1.02
10000,Aldi,7002,L,2018-09-15,Saturday,7.13
10000,Lidl,7011,S,2018-12-13,Thursday,1.44
10000,Lidl,7009,S,2018-12-13,Thursday,3.34
10000,Aldi,7014,M,2019-03-16,Saturday,5.45
10000,Aldi,7008,M,2019-03-16,Saturday,5.56
10000,Aldi,7011,M,2019-03-16,Saturday,4.96
10000,Tesco,7012,M,2019-10-18,Friday,4.68
10000,Tesco,7014,M,2019-10-18,Friday,4.65
10000,Tesco,7008,S,2019-10-18,Friday,2.94
10000,Tesco,7006,S,2019-10-18,Friday,3.45
10000,Tesco,7002,M,2019-10-18,Friday,5.79
10000,Lidl,7002,S,2019-03-26,Tuesday,2.55
10000,Aldi,7008,L,2018-09-15,Saturday,8.26
10000,Tesco,7009,M,2019-10-18,Friday,4.82
10000,Aldi,7003,L,2018-09-15,Saturday,8.39
10000,Lidl,7012,S,2018-12-13,Thursday,2.15
10000,Lidl,7003,S,2018-12-13,Thursday,2.26
10000,Lidl,7006,S,2018-12-13,Thursday,3.54
10000,Tesco,7009,L,2019-03-05,Tuesday,6.14
10000,Tesco,7002,L,2019-03-05,Tuesday,6.49
10000,Tesco,7003,L,2019-03-05,Tuesday,7.08
10000,Tesco,7011,M,2019-10-18,Friday,5.6
10000,Tesco,7009,S,2019-08-16,Friday,1.42
10000,Tesco,7011,S,2019-08-16,Friday,3.21
10000,Aldi,7014,M,2019-10-12,Saturday,5.67
10000,Tesco,7006,S,2019-08-14,Wednesday,2.84
10000,Tesco,7008,S,2019-08-14,Wednesday,3.42
10000,Tesco,7011,S,2019-08-14,Wednesday,2.42
10000,Tesco,7011,M,2019-10-06,Sunday,4.26
10000,Tesco,7009,M,2019-10-06,Sunday,4.4
10000,Tesco,7006,M,2019-10-06,Sunday,4.32
10000,Aldi,7011,L,2019-03-24,Sunday,6.93
10000,Aldi,7008,L,2019-03-24,Sunday,6.96
10000,Tesco,7012,S,2019-08-14,Wednesday,1.55
10000,Aldi,7003,L,2019-03-24,Sunday,6.34
10000,Aldi,7011,M,2018-12-23,Sunday,5.86
10000,Lidl,7011,L,2019-03-26,Tuesday,6.23
10000,Aldi,7012,M,2018-12-23,Sunday,5.16
10000,Spar,7003,M,2018-10-06,Saturday,4.95
10000,Aldi,7003,L,2018-09-08,Saturday,6.68
10000,Aldi,7002,L,2018-09-08,Saturday,6.21
10000,Aldi,7009,L,2018-09-08,Saturday,6.59
10000,Aldi,7011,L,2018-09-08,Saturday,8.26
10000,Aldi,7008,M,2018-12-23,Sunday,5.75
10000,Aldi,7014,M,2018-12-23,Sunday,4.2
10000,Tesco,7006,L,2019-03-19,Tuesday,7.18
10000,Tesco,7014,M,2019-03-19,Tuesday,5.74
10000,Lidl,7009,S,2019-03-26,Tuesday,3.64
10000,Tesco,7009,L,2018-09-12,Wednesday,6.88
10000,Aldi,7012,M,2018-10-12,Friday,5.11
10000,Aldi,7014,M,2018-10-12,Friday,4.79
10000,Aldi,7002,M,2018-10-12,Friday,4.82
10000,Aldi,7002,M,2019-10-12,Saturday,5.4
10000,Aldi,7012,M,2019-10-12,Saturday,4.3
10000,Tesco,7014,L,2019-03-15,Friday,8.34
10000,Tesco,7003,L,2019-03-19,Tuesday,8.23
10000,Tesco,7002,L,2019-03-15,Friday,6.59
10000,Aldi,7014,M,2019-10-10,Thursday,4.23
10000,Aldi,7012,M,2019-10-10,Thursday,4.17
10000,Aldi,7011,M,2019-10-10,Thursday,4.31
10000,Aldi,7003,L,2019-03-16,Saturday,7.04
10000,Tesco,7003,L,2018-09-12,Wednesday,7.33
10000,Tesco,7011,M,2019-03-19,Tuesday,4.96
10000,Tesco,7009,M,2019-03-19,Tuesday,5.24
10000,Tesco,7002,M,2019-03-19,Tuesday,5.4
10000,Tesco,7003,L,2019-03-15,Friday,7.36
10000,Aldi,7003,L,2019-03-01,Friday,8.01
10000,Lidl,7008,M,2019-03-26,Tuesday,4.58
10000,Tesco,7003,L,2019-04-23,Tuesday,6.14
10000,Tesco,7011,S,2018-12-31,Monday,0.77
10000,Aldi,7009,M,2019-08-25,Sunday,5.06
10000,Tesco,7012,S,2018-09-26,Wednesday,1.03
10000,Aldi,7008,M,2019-08-25,Sunday,4.19
10000,Aldi,7012,M,2019-08-25,Sunday,4.13
10000,Aldi,7009,L,2019-05-31,Friday,8.34
10000,Aldi,7008,L,2019-05-31,Friday,6.75
10000,Aldi,7003,L,2019-05-31,Friday,7.94
10000,Tesco,7011,S,2019-07-20,Saturday,3.09
10000,Aldi,7012,M,2019-08-23,Friday,5.67
10000,Aldi,7011,M,2019-08-23,Friday,4.79
10000,Tesco,7014,S,2019-02-18,Monday,1.25
10000,Tesco,7012,S,2019-02-18,Monday,1.23
10000,Tesco,7006,S,2019-02-18,Monday,2.06
10000,Tesco,7002,S,2019-02-18,Monday,2.34
10000,Tesco,7008,S,2019-02-18,Monday,0.92
10000,Tesco,7011,S,2019-02-18,Monday,1.71
10000,Tesco,7008,S,2018-12-31,Monday,1.41
10000,Tesco,7002,S,2018-12-31,Monday,2.86
10000,Tesco,7006,S,2018-12-31,Monday,2.44
10000,Aldi,7014,M,2018-09-06,Thursday,4.93
10000,Aldi,7002,L,2018-08-22,Wednesday,8.19
10000,Aldi,7009,L,2018-08-22,Wednesday,8.16
10000,Aldi,7011,L,2018-08-22,Wednesday,6.69
10000,Aldi,7014,M,2018-09-08,Saturday,5.55
10000,Aldi,7008,M,2018-09-08,Saturday,5.74
10000,Tesco,7009,M,2019-04-04,Thursday,4.62
10000,Tesco,7011,M,2019-04-04,Thursday,4.73
10000,Tesco,7011,S,2018-09-26,Wednesday,2.87
10000,Tesco,7014,M,2019-04-04,Thursday,4.65
10000,Tesco,7008,S,2018-09-26,Wednesday,3.34
10000,Tesco,7014,S,2018-09-26,Wednesday,0.77
10000,Aldi,7008,L,2019-05-28,Tuesday,6.66
10000,Tesco,7008,S,2019-07-20,Saturday,2.69
10000,Aldi,7003,L,2019-05-28,Tuesday,7.18
10000,Tesco,7012,S,2018-12-31,Monday,1.86
10000,Aldi,7009,M,2018-09-06,Thursday,5.9
10000,Aldi,7008,M,2018-09-06,Thursday,5.57
10000,Aldi,7012,M,2018-09-06,Thursday,4.58
10000,Tesco,7009,S,2018-09-26,Wednesday,3.09
10000,Lidl,7008,L,2019-06-04,Tuesday,7.63
10000,Lidl,7014,L,2019-06-04,Tuesday,6.48
10000,Tesco,7012,M,2019-04-04,Thursday,5.01
10000,Tesco,7003,L,2019-06-19,Wednesday,6.73
10000,Tesco,7014,L,2019-06-19,Wednesday,8.01
10000,Tesco,7014,S,2019-07-14,Sunday,1.18
10000,Tesco,7008,S,2019-07-14,Sunday,1.37
10000,Lidl,7006,M,2019-08-10,Saturday,5.72
10000,Tesco,7009,S,2019-07-14,Sunday,2.08
10000,Lidl,7012,M,2019-08-10,Saturday,4.83
10000,Tesco,7008,S,2019-02-16,Saturday,1.08
10000,Tesco,7009,L,2019-06-19,Wednesday,7.86
10000,Tesco,7012,S,2019-02-16,Saturday,1.63
